profile;#stimuli;#impairments;#opportunities;#recomms;#best_recomms;#inf_time;#recomm_time
profile_0;10;22;20;10;7;147;13
profile_0;20;22;46;20;9;87;12
profile_0;30;22;60;29;15;89;16
profile_0;40;22;63;38;9;116;19
profile_0;50;22;88;48;20;121;17
profile_0;60;22;111;59;27;121;24
profile_0;70;22;116;66;19;117;21
profile_0;80;22;119;71;18;103;23
profile_0;90;22;174;88;29;107;24
profile_0;100;22;188;97;31;133;26
profile_0;150;22;259;148;49;202;33
profile_0;200;22;318;190;47;218;39
profile_0;250;22;470;240;50;321;52
profile_0;300;22;516;286;88;344;37
profile_0;350;22;625;342;96;444;43
profile_0;400;22;698;378;122;555;44
profile_0;450;22;780;420;78;639;50
profile_0;500;22;822;472;113;744;51
profile_1;10;24;21;9;3;19;3
profile_1;20;24;43;20;6;29;5
profile_1;30;24;65;27;11;34;9
profile_1;40;24;68;35;16;47;8
profile_1;50;24;89;48;20;50;8
profile_1;60;24;111;60;19;42;9
profile_1;70;24;121;67;22;50;10
profile_1;80;24;135;77;29;54;13
profile_1;90;24;153;87;34;60;14
profile_1;100;24;204;98;19;70;14
profile_1;150;24;279;143;53;108;19
profile_1;200;24;349;194;55;171;24
profile_1;250;24;503;246;61;240;28
profile_1;300;24;541;287;48;319;35
profile_1;350;24;688;344;95;413;40
profile_1;400;24;748;389;146;501;43
profile_1;450;24;862;437;77;630;49
profile_1;500;24;879;483;72;743;53
profile_2;10;21;23;10;6;20;3
profile_2;20;21;38;20;11;22;4
profile_2;30;21;54;28;17;26;5
profile_2;40;21;64;36;17;29;6
profile_2;50;21;88;49;29;35;7
profile_2;60;21;110;60;25;42;9
profile_2;70;21;114;65;30;47;10
profile_2;80;21;125;79;32;50;10
profile_2;90;21;155;89;30;62;12
profile_2;100;21;186;97;50;64;14
profile_2;150;21;256;146;59;106;19
profile_2;200;21;348;199;79;166;24
profile_2;250;21;463;248;115;242;29
profile_2;300;21;495;290;93;317;32
profile_2;350;21;632;346;102;414;40
profile_2;400;21;712;393;165;505;46
profile_2;450;21;748;443;158;615;52
profile_2;500;21;857;489;148;719;52
profile_3;10;24;18;10;8;19;3
profile_3;20;24;37;20;10;21;4
profile_3;30;24;57;28;16;26;5
profile_3;40;24;68;37;19;29;7
profile_3;50;24;80;50;20;31;6
profile_3;60;24;103;59;27;37;9
profile_3;70;24;113;67;24;39;9
profile_3;80;24;128;77;10;48;10
profile_3;90;24;141;87;35;53;12
profile_3;100;24;175;98;38;65;13
profile_3;150;24;248;147;54;104;18
profile_3;200;24;322;200;50;154;22
profile_3;250;24;410;245;84;229;27
profile_3;300;24;461;286;70;295;31
profile_3;350;24;571;343;101;400;40
profile_3;400;24;633;385;109;501;46
profile_3;450;24;736;439;129;690;51
profile_3;500;24;788;486;136;786;56
profile_4;10;19;15;10;7;20;2
profile_4;20;19;28;16;8;21;3
profile_4;30;19;44;28;11;26;5
profile_4;40;19;45;35;15;29;6
profile_4;50;19;52;47;10;34;8
profile_4;60;19;73;54;13;42;9
profile_4;70;19;86;58;26;45;10
profile_4;80;19;70;68;23;48;11
profile_4;90;19;113;83;23;60;14
profile_4;100;19;121;89;22;69;14
profile_4;150;19;174;135;37;103;19
profile_4;200;19;213;173;36;158;24
profile_4;250;19;305;225;54;241;29
profile_4;300;19;343;262;63;309;34
profile_4;350;19;401;311;80;432;39
profile_4;400;19;463;355;91;523;42
profile_4;450;19;506;393;113;673;53
profile_4;500;19;527;435;79;830;54
profile_5;10;17;9;9;7;25;5
profile_5;20;17;26;20;13;23;4
profile_5;30;17;30;29;9;26;5
profile_5;40;17;48;37;15;33;7
profile_5;50;17;58;49;28;46;8
profile_5;60;17;77;59;16;44;11
profile_5;70;17;70;66;16;51;9
profile_5;80;17;82;75;33;54;12
profile_5;90;17;101;83;32;57;12
profile_5;100;17;136;96;44;69;13
profile_5;150;17;159;144;63;126;22
profile_5;200;17;213;190;60;186;25
profile_5;250;17;300;241;72;283;35
profile_5;300;17;324;291;88;359;41
profile_5;350;17;413;341;100;505;50
profile_5;400;17;449;382;112;648;52
profile_5;450;17;530;431;95;812;58
profile_5;500;17;520;473;126;930;70
profile_6;10;28;22;10;7;22;4
profile_6;20;28;46;20;10;24;4
profile_6;30;28;63;28;18;33;6
profile_6;40;28;79;36;19;42;6
profile_6;50;28;92;48;19;36;8
profile_6;60;28;117;58;17;44;8
profile_6;70;28;134;66;20;44;9
profile_6;80;28;131;76;26;50;10
profile_6;90;28;178;89;42;65;12
profile_6;100;28;207;98;38;83;14
profile_6;150;28;262;142;63;133;20
profile_6;200;28;341;194;61;183;26
profile_6;250;28;491;245;94;281;34
profile_6;300;28;548;284;98;348;37
profile_6;350;28;671;337;119;473;45
profile_6;400;28;765;381;154;582;52
profile_6;450;28;873;430;152;748;54
profile_6;500;28;883;480;192;816;64
profile_7;10;23;23;10;5;24;4
profile_7;20;23;33;20;10;25;4
profile_7;30;23;49;29;14;28;4
profile_7;40;23;54;37;18;38;7
profile_7;50;23;76;50;23;36;7
profile_7;60;23;102;59;18;42;8
profile_7;70;23;107;68;22;49;11
profile_7;80;23;119;76;26;50;11
profile_7;90;23;118;87;39;71;12
profile_7;100;23;172;99;27;73;13
profile_7;150;23;252;148;30;147;45
profile_7;200;23;320;192;64;173;29
profile_7;250;23;447;247;86;271;29
profile_7;300;23;470;286;94;339;38
profile_7;350;23;602;344;120;498;44
profile_7;400;23;651;386;144;579;54
profile_7;450;23;701;433;152;683;61
profile_7;500;23;767;479;136;794;58
profile_8;10;25;18;9;7;18;2
profile_8;20;25;35;20;9;23;6
profile_8;30;25;41;29;10;25;5
profile_8;40;25;44;36;18;35;7
profile_8;50;25;71;46;20;34;8
profile_8;60;25;97;56;21;39;9
profile_8;70;25;92;66;14;40;8
profile_8;80;25;86;76;28;50;11
profile_8;90;25;124;84;25;59;11
profile_8;100;25;149;96;30;78;15
profile_8;150;25;201;141;39;113;18
profile_8;200;25;264;187;78;174;25
profile_8;250;25;406;242;84;254;32
profile_8;300;25;413;282;87;334;40
profile_8;350;25;505;340;97;546;58
profile_8;400;25;566;375;121;746;69
profile_8;450;25;631;429;145;768;57
profile_8;500;25;634;474;146;807;59
profile_9;10;19;23;10;6;18;2
profile_9;20;19;33;20;9;22;4
profile_9;30;19;55;26;17;25;5
profile_9;40;19;56;36;21;33;7
profile_9;50;19;76;47;22;33;7
profile_9;60;19;84;60;30;35;8
profile_9;70;19;101;65;24;45;9
profile_9;80;19;109;77;36;46;11
profile_9;90;19;125;88;31;58;11
profile_9;100;19;178;98;35;65;13
profile_9;150;19;239;143;48;107;20
profile_9;200;19;298;193;47;165;24
profile_9;250;19;407;245;84;253;33
profile_9;300;19;445;283;91;337;39
profile_9;350;19;548;334;100;457;46
profile_9;400;19;606;385;111;569;51
profile_9;450;19;647;429;143;664;59
profile_9;500;19;710;473;117;768;59
